id,fname,category,country
2325,Sweet Pastry,MeiÃƒÂŸner Fummel,Germany
2326,Soup,TÃƒÂ¼ften un Plum,Germany
2327,Stew,Berliner Schmorgurken,Germany
2328,Appetizer,Eggs and Shrimp (RÃƒÂ¼hrei mit Krabben),Germany
2329,Bread,Berliner KnÃƒÂ¼ppel,Germany
2330,Savory Pastry,KartoffelhÃƒÂ¶rnchen,Germany
2331,Snack,Radi,Germany
2332,Side Dish,Caramel Potatoes (Karamellkartoffeln),Germany
2333,Side Dish,Bremer Braunkohl,Germany
2334,Savory Pie,Weimarer Zwiebelkuchen,Germany
2335,Dessert,Bergische Waffles,Germany
2336,Potato Dish,Gedadschde,Germany
2337,Side Dish,Fufu,Ghana
2338,Rice Dish,Waakye,Ghana
2339,Stew,Red red,Ghana
2340,Stew,Garden Egg Stew,Ghana
2341,Side Dish,Kelewele,Ghana
2342,Stew,Kokonte,Ghana
2343,Soup,Palm Nut Soup,Ghana
2344,Soup,Kontomire Soup,Ghana
2345,Side Dish,Plakali,Ghana
2346,Street Food,Chichinga,Ghana
2347,Side Dish,Banku,Ghana
2348,Chicken Dish,Hkatenkwan,Ghana
2349,Side Dish,Akple,Ghana
2350,Bread,Kpekpele,Ghana
2351,Side Dish,Tuo zaafi,Ghana
2352,Side Dish,Konkonte,Ghana
2353,Crab Dish,Akotonshi,Ghana
2354,Stew,Ghana Meatball Stew,Ghana
2355,Side Dish,Gari foto,Ghana
2356,Meat Dish,Gyros,Greece
2357,Casserole,Moussaka,Greece
2358,Salad,Greek Salad,Greece
2359,Meat Dish,Souvlaki,Greece
2360,Dip,Tzatziki,Greece
2361,Savory Pastry,Spanakopita,Greece
2362,Casserole,Pastitsio,Greece
2363,Dessert,Revani,Greece
2364,Salad,Horta,Greece
2365,Vegetable Dish,Yemista,Greece
2366,Mussel Dish,Mydia,Greece
2367,Sweet Pastry,Bougatsa,Greece
2368,Cookie,Koulourakia,Greece
2369,Meatballs,Keftedakia,Greece
2370,Dip,Taramasalata,Greece
2371,Savory Pastry,Tiropita,Greece
2372,Sweet Bread,Tsoureki,Greece
2373,Appetizer,Dakos,Greece
2374,Vegetable Soup,Fakes,Greece
2375,Cookie,Melomakarona,Greece
2376,Offal Soup,Magiritsa,Greece
2377,Vegetable Dish,Bamies,Greece
2378,Appetizer,Saganaki,Greece
2379,Pork Dish,ApÃƒÂ¡ki,Greece
2380,Sweet Pastry,Galaktoboureko,Greece
2381,Cookie,Kourabiedes,Greece
2382,Saltwater Fish Dish,Bakaliaros,Greece
2383,Lamb/Mutton Dish,PaÃƒÂ¯dakia,Greece
2384,Meat Dish,Kokkinisto,Greece
2385,Squid Dish,Kalamarakia tiganita,Greece
2386,Stew,Stifado,Greece
2387,Egg Dish,Omeletta,Greece
2388,Ground Meat Dish,Biftekia,Greece
2389,Soup,Avgolemono,Greece
2390,Fish Soup,Psarosoupa,Greece
2391,Vegetable Dish,Fasolakia,Greece
2392,Rice Dish,Spanakorizo,Greece
2393,Lamb/Mutton Dish,Kleftiko,Greece
2394,Dessert,Spoon Sweets,Greece
2395,Cake,Portokalopita,Greece
2396,Meat Soup,Youvarlakia,Greece
2397,Sweet Pastry,Loukoumades,Greece
2398,Dip,Fava,Greece
2399,Sweet Bread,Vasilopita,Greece
2400,Salad,Patatosalata,Greece
2401,Savory Pie,Kolokithopita,Greece
2402,Sweet Pie,Milopita,Greece
2403,Rusk,Paximadi,Greece
2404,Dip,Melitzanosalata,Greece
2405,Vegetable Dish,BriÃƒÂ¡m,Greece
2406,Spread,Skordalia,Greece
2407,Sweet Pastry,Diples,Greece
2408,Salad,Tonosalata,Greece
2409,Casserole,Giouvetsi,Greece
2410,Egg Dish,Staka me ayga,Greece
2411,Offal Dish,Kokoretsi,Greece
2412,Pasta,Makaronia me kima,Greece
2413,Shrimp/Prawn Dish,Garides saganaki,Greece
2414,Flatbread,Ladenia,Greece
2415,Vegetable Soup,Revithia,Greece
2416,Pudding,Rizogalo,Greece
2417,Cake,Karydopita,Greece
2418,Sausage,Loukaniko,Greece
2419,Sweet Pie,Galatopita,Greece
2420,Vegetable Soup,Fasolada,Greece
2421,Savory Pie,Kreatopita,Greece
2422,Dessert,Koufeto,Greece
2423,Snack,Pasteli,Greece
2424,Tart,Pasta flora,Greece
2425,Chicken Soup,Kotosoupa,Greece
2426,Bread,Koulouri Thessalonikis,Greece
2427,Stew,Kouneli stifado,Greece
2428,Chicken Dish,Kotopoulo me ryzi,Greece
2429,Ground Meat Dish,Fylla,Greece
2430,Offal Soup,Patsas,Greece
2431,Meat Dish,Pastitsada,Greece
2432,Rice Dish,Prasorizo,Greece
2433,Dessert,Mandolato,Greece
2434,Dip,Tirokafteri,Greece
2435,Savory Pie,Alevropita,Greece
2436,Snack,Kalitsounia,Greece
2437,Lobster Dish,Astakomakaronada,Greece
2438,Rice Dish,Gamopilafo,Greece
2439,Cake,Fanouropita,Greece
2440,Flatbread,Lagana,Greece
2441,Egg Dish,Strapatsada,Greece
2442,Cookie,AmygdalotÃƒÂ¡,Greece
2443,Stew,Spetsofai,Greece
2444,Lamb/Mutton Dish,Arni me patates sto fourno,Greece
2445,Octopus Dish,Chtapodi sti schara,Greece
2446,Vegetable Dish,Tomatokeftedes,Greece
2447,Pudding,Moustalevria,Greece
2448,Fish Soup,Kakavia,Greece
2449,Cookie,Moustokouloura,Greece
2450,Vegetable Dish,Kolokithakia tiganita,Greece
2451,Stew,Greek Manestra,Greece
2452,Vegetable Dish,Kolokythoanthoi,Greece
2453,Dessert,Yiaourti me meli,Greece
2454,Salad,Lahanosalata,Greece
2455,Saltwater Fish Dish,Bourdeto,Greece
2456,Vegetable Dish,Gigandes plaki,Greece
2457,Stew,Hirino me Selino,Greece
2458,Saltwater Fish Dish,Marides tiganites,Greece
2459,Dessert,Frigania,Greece
2460,Barbecue,Antikristo,Greece
2461,Beef Dish,Greek Sofrito,Greece
2462,Pickling,Lakerda,Greece
2463,Savory Pastry,Hortopita,Greece
2464,Dip,Labneh,Greece
2465,Bread,Daktyla,Greece
2466,Savory Pie,Tirenia,Greece
2467,Stew,Anginares a la Polita,Greece
2468,Sweet Pie,Melopita,Greece
2469,Salad,Pantzarosalata,Greece
2470,Vegetable Dish,Arakas me aginares,Greece
2471,Rice Dish,Lachanorizo,Greece
2472,Appetizer,Spinialo,Greece
2473,Bread,Tiropsomo,Greece
2474,Bread,Eliopsomo,Greece
2475,Bread,Tiganopsomo,Greece
2476,Goat Dish,Kapamas,Greece
2477,Stew,Patatato,Greece
2478,Stew,Kalogeros,Greece
2479,Snail Dish,Kohli bourbouristi,Greece
2480,Meatballs,Soutzoukakia smyrneika,Greece
2481,Savory Pastry,Skopelitiki tiropita,Greece
2482,Appetizer,Tirokroketes,Greece
2483,Sweet Pie,Sfakianopita,Greece
2484,Savory Pie,Melintzanopita,Greece
2485,Meat Soup,Kreatosoupa,Greece
2486,Sweet Pie,Karpouzopita,Greece
2487,Egg Dish,Fourtalia,Greece
2488,Lamb/Mutton Dish,Maouri,Greece
2489,Lamb/Mutton Dish,Tsigaristo,Greece
2490,Dessert,Samsades,Greece
2491,Deep-fried Dessert,Akoumia,Greece
2492,Cookie,Mamoulia,Greece
2493,Vegetable Soup,Hortosoupa,Greece
2494,Savory Pie,Manitaropita,Greece
2495,Cookie,Roxakia,Greece
2496,Vegetable Soup,Bourbourelia,Greece
2497,Pasta,Spaghetti me anthotyro,Greece
2498,Vegetable Dish,Tsigareli,Greece
2499,Savory Pastry,Tsouknidopita,Greece
2500,Meat Dish,Byzanti,Greece
2501,Pasta,Makarounes me sitaka,Greece
2502,Snack,Melekouni,Greece
2503,Vegetable Dish,Soufiko,Greece
2504,Stew,KÃÂŒkoras krasÃŽÂ¬tos,Greece
2505,Salad,Askordoulakous,Greece
2506,Vegetable Dish,Tsigaridia,Greece
2507,Stew,Sofigado,Greece
2508,Sweet Bread,Lazarakia,Greece
2509,Savory Pastry,Pitarakia,Greece
2510,Appetizer,Simiako garidaki,Greece
2511,Snack,Skordopsomo,Greece
2512,Appetizer,Pitaroudia,Greece
2513,Rusk,Kritiko paximadi,Greece
2514,Deep-fried Dessert,Fritoura,Greece
2515,Egg Dish,Sfougato,Greece
2516,Cookie,Paximathakia,Greece
2517,Cookie,Patouda,Greece
2518,Cake,Amygdalopita,Greece
2519,Dessert,Avgato,Greece
2520,Offal Dish,Frygadeli,Greece
2521,Pudding,Misokofti,Greece
2522,Vegetable Soup,Tsouvras,Greece
2523,Soup,Kinteata,Greece
2524,Vegetable Soup,Bourou-bourou,Greece
2525,Dessert,Venizelika,Greece
2526,Stew,Sofegada,Greece
2527,Appetizer,Riganada,Greece
2528,Spread,Maidanosalata,Greece
2529,Sweet Pastry,Hamalia,Greece
2530,Appetizer,Pythia,Greece
2531,Cake,Petimezopita,Greece
2532,Sweet Pastry,Fouskakia,Greece
2533,Salad,Mermizeli,Greece
2534,Appetizer,Antzougia,Greece
2535,Bread,Elenia,Greece
2536,Spread,Kaparosalata,Greece
2537,Sweet Pastry,Masourakia,Greece
2538,Bread,Karydopsomo,Greece
2539,Cake,Zoumero,Greece
2540,Sausage,Omathies,Greece
2541,Dessert,AkanÃƒÂ©s,Greece
2542,Pasta,Kordelia,Greece
2543,Stew,Boutridia,Greece
2544,Pasta,Pseftopetinos,Greece
2545,Savory Pie,Malathropita,Greece
2546,Rusk,Eptazimo,Greece
2547,Pancake,Lalagites,Greece
2548,Bread,Mavragani Bread,Greece
2549,Breakfast,Fetoydia,Greece
2550,Stew,Oil Down,Grenada
2551,Ice Cream,Nutmeg Ice Cream,Grenada
2552,Stew,Olla de San AntÃƒÂ³n,Grenada
2553,Stew,Grenadian Chicken Stew,Grenada
2554,Salad,Fiambre,Guatemala
2555,Chicken Dish,Pollo en crema,Guatemala
2556,Hot Dog,Mixtas,Guatemala
2557,Hot Dog,Shucos,Guatemala
2558,Stew,Hilachas,Guatemala
2559,Stew,JocÃƒÂ³n,Guatemala
2560,Stew,PepiÃƒÂ¡n,Guatemala
2561,Stew,Estofado con papas,Guatemala
2562,Stew,Revolcado,Guatemala
2563,Sweet Bread,Pan de camote,Guatemala
2564,Cake,Pastel de banano,Guatemala
2565,Stew,Kak'ik,Guatemala
2566,Rice Dish,Arroz con apio,Guatemala
2567,Appetizer,Tostadas de salsa,Guatemala
2568,Snack,Chuchitos,Guatemala
2569,Stew,Pulique,Guatemala
2570,Wrap,Paches,Guatemala
2571,Street Food,Tamalitos de chipilÃƒÂ­n,Guatemala
2572,Stew,Subanik,Guatemala
2573,Salad,ChojÃƒÂ­n,Guatemala
2574,Stew,Choc'a,Guatemala
2575,Pancake,Tortitas de yuca,Guatemala
2576,Insect Dish,Zompopos de mayo,Guatemala
2577,Salad,Piloyada AntigueÃƒÂ±a,Guatemala
2578,Side Dish,Boxboles,Guatemala
2579,Snack,Patates,Guinea
2580,Stew,YÃƒÂ©tissÃƒÂ©,Guinea
2581,Stew,Kansiye,Guinea
2582,Stew,KonkoÃƒÂ©,Guinea
2583,Sauce,Footi,Guinea
2584,Fish Soup,Lohikeitto,Guyana
2585,Meatballs,Lihapullat,Guyana
2586,Dessert,Salmiakki,Guyana
2587,Dessert,MÃƒÂ¤mmi,Guyana
2588,Vegetable Soup,Hernekeitto,Guyana
2589,Saltwater Fish Dish,Silakat,Guyana
2590,Game Dish,PoronkÃƒÂ¤ristys,Guyana
2591,Sweet Pastry,Munkki,Guyana
2592,Savory Pie,Karjalanpiirakka,Guyana
2593,Spread,Munavoi,Guyana
2594,Flatbread,Rieska,Guyana
2595,Fish Soup,Kalakeitto,Guyana
2596,Casserole,Kaalilaatikko,Guyana
2597,Stew,Karjalanpaisti,Guyana
2598,Savory Pie,Kalakukko,Guyana
2599,Blood Sausage,Mustamakkara,Guyana
2600,Sandwich,Porilainen,Guyana
2601,Flatbread,NÃƒÂ¤kkileipÃƒÂ¤,Guyana
2602,Casserole,Maksalaatikko,Guyana
2603,Casserole,Porkkanalaatikko,Guyana
2604,Casserole,Lanttulaatikko,Guyana
2605,Sweet Bread,Pulla,Guyana
2606,Sausage,Nakkikastike,Guyana
2607,Dessert,Runebergintorttu,Guyana
2608,Cake,Strawberry Meringue Cake (Mansikkakakku),Guyana
2609,Porridge,Vispipuuro,Guyana
2610,Bread,Limppu,Guyana
2611,Sweet Pastry,Joulutorttu,Guyana
2612,Sweet Pastry,Laskiaispulla,Guyana
2613,Salad,Rosolli,Guyana
2614,Rusk,Korppu,Guyana
2615,Casserole,Imelletty perunalaatikko,Guyana
2616,Technique,Rosvopaisti,Guyana
2617,Technique,Loimulohi,Guyana
2618,Sausage,Siskonmakkara,Guyana
2619,Deep-fried Dessert,TippaleipÃƒÂ¤,Guyana
2620,Sausage,Ryynimakkara,Guyana
2621,Stew,Merimiespata,Guyana
2622,Flatbread,Perunarieska,Guyana
2623,Porridge,Mannapuuro,Guyana
2624,Sweet Pastry,LÃƒÂ¶rtsy,Guyana
2625,Flatbread,Ohrarieska,Guyana
2626,Bread,RuisreikÃƒÂ¤leipÃƒÂ¤,Guyana
2627,Dumplings,Blodpalt,Guyana
2628,Dessert,Oven Cheese (Uunijuusto ),Guyana
2629,Sweet Pie,Kainuun rÃƒÂ¶nttÃƒÂ¶nen,Guyana
2630,Mushroom Soup,Chanterelle Soup (Kanttarellikeitto),Guyana
2631,Stew,RÃƒÂ¶ssypottu,Guyana
2632,Bread,Ruislimppu,Guyana
2633,Bread,SirkkaleipÃƒÂ¤,Guyana
2634,Porridge,Helmipuuro,Guyana
2635,Snack,Sultsina,Guyana
2636,Soup,Mykyrokka,Guyana
2637,Spread,Chopped Herring Spread (Sillikaviaari),Guyana
2638,Sausage,Rusinamakkara,Guyana
2639,Hot Dog,Nokia kuuma koira,Guyana
2640,Chicken Dish,Poulet aux noix,Haiti
2641,Pork Dish,Griot,Haiti
2642,Vegetable Soup,Joumou,Haiti
2643,Savory Pastry,Haitian Patty,Haiti
2644,Meat Dish,Tassot,Haiti
2645,Stew,Legim,Haiti
2646,Stew,Tchaka,Haiti
2647,Relish,Pikliz,Haiti
2648,Soup,Bouillon Soup,Haiti
2649,Pasta,Makawoni au graten,Haiti
2650,Rice Dish,Diri ak pwa,Haiti
2651,Rice Dish,Diri ak djon djon,Haiti
2652,Rice Dish,Diri ak legim,Haiti
2653,Rice Dish,Diri ak sos pwa,Haiti
2654,Sauce,Sos ti-malice,Haiti
2655,Dessert,Dous makos,Haiti
2656,Sauce,Sos pwa,Haiti
2657,Technique,Pwason boukannen,Haiti
2658,Chicken Dish,Poul ak nwa,Haiti
2659,Porridge,Mayi moulen,Haiti
2660,Bread,Pain HaÃƒÂ¯tien,Haiti
2661,Pudding,Doukounou,Haiti
2662,Side Dish,Tonmtonm,Haiti
2663,Pudding,Pain patate,Haiti
2664,Snack,Accra,Haiti
2665,Street Food,Baleada,Honduras
2666,Seafood Soup,Sopa de caracol,Honduras
2667,Sweet Bread,Pan de coco,Honduras
2668,Sweet Pastry,Rosquillas,Honduras
2669,Seafood Soup,Sopa catratcha de mariscos con un,Honduras
2670,Fish Soup,Tapado de pescado,Honduras
2671,Assorted Small Dishes or Ritual,Plato tÃƒÂ­pico,Honduras
2672,Seafood Soup,Sopa marinera,Honduras
2673,Stew,Candinga,Honduras
2674,Freshwater Fish Dish,Fried Yojoa Fish,Honduras
2675,Side Dish,Yuca con chicharrÃƒÂ³n,Honduras
2676,Snack,Macheteadas,Honduras
2677,Soup,Sopa de capirotadas,Honduras
2678,Snack,Catrachitas,Honduras
2679,Appetizer,Anafre de frijoles,Honduras
2680,Snack,Tortilla con quesillo,Honduras
2681,Dessert,Coyol en miel,Honduras
2682,Meat Soup,GulyÃƒÂ¡s,Hungary
2683,Cake,KrÃƒÂ©mes,Hungary
2684,Stew,Chicken Paprikash (PaprikÃƒÂ¡s csirke),Hungary
2685,Stew,PÃƒÂ¶rkÃƒÂ¶lt,Hungary
2686,Snack,LÃƒÂ¡ngos,Hungary
2687,Cheese Dessert,TÃƒÂºrÃƒÂ³ rudi,Hungary
2688,Savory Pastry,PogÃƒÂ¡csa,Hungary
2689,Fish Soup,HalÃƒÂ¡szlÃƒÂ©,Hungary
2690,Sweet Pastry,KÃƒÂ¼rtÃ…Â‘skalÃƒÂ¡cs,Hungary
2691,Cake,Dobos torte,Hungary
2692,Cake,ZserbÃƒÂ³,Hungary
2693,Vegetable Dish,LecsÃƒÂ³,Hungary
2694,Cake,EsterhÃƒÂ¡zy torta,Hungary
2695,Snack,Kifli,Hungary
2696,Sweet Bread,KalÃƒÂ¡cs,Hungary
2697,Ground Meat Dish,TÃƒÂ¶ltÃƒÂ¶tt kaposzta,Hungary
2698,Meat Soup,GulyÃƒÂ¡sleves,Hungary
2699,Cake,SomlÃƒÂ³i galuska,Hungary
2700,Sausage,Hurka,Hungary
2701,Stew,FÃ…Â‘zelÃƒÂ©k,Hungary
2702,Meat Soup,HÃƒÂºsleves,Hungary
2703,Dumplings,TÃƒÂºrÃƒÂ³gombÃƒÂ³c,Hungary
2704,Casserole,Rakott krumpli,Hungary
2705,Spread,LekvÃƒÂ¡r,Hungary
2706,Sweet Soup,Meggyleves,Hungary
2707,Ground Meat Dish,TÃƒÂ¶ltÃƒÂ¶tt paprika,Hungary
2708,Pasta,TÃƒÂºrÃƒÂ³s csusza,Hungary
2709,Stew,Slambuc,Hungary
2710,Stew,PaprikÃƒÂ¡s krumpli,Hungary
2711,Sweet Pastry,FÃƒÂ¡nk,Hungary
2712,Vegetable Soup,ZÃƒÂ¶ldsÃƒÂ©gleves,Hungary
2713,Dessert,GesztenyepÃƒÂ¼rÃƒÂ©,Hungary
2714,Stew,Hal PaprikÃƒÂ¡s,Hungary
2715,Stew,SÃƒÂ³let,Hungary
2716,Dessert,Szaloncukor,Hungary
2717,Cake,MÃƒÂ©zes krÃƒÂ©mes,Hungary
2718,Sweet Bread,MÃƒÂ¡kos bejgli,Hungary
2719,Dessert,MÃƒÂ¡kos guba,Hungary
2720,Stew,GombapaprikÃƒÂ¡s,Hungary
2721,Snack,BundÃƒÂ¡s kenyÃƒÂ©r,Hungary
2722,Snack,RÃƒÂ¡ntott sajt,Hungary
2723,Cheese Dessert,RÃƒÂ¡kÃƒÂ³czi tÃƒÂºrÃƒÂ³s,Hungary
2724,Soup,TojÃƒÂ¡sleves,Hungary
2725,Vegetable Soup,Krumplileves,Hungary
2726,Casserole,Rakott kÃƒÂ¡poszta,Hungary
2727,Soup,JÃƒÂ³kai bableves,Hungary
2728,Sweet Bread,Aranygaluska,Hungary
2729,Meat Soup,PalÃƒÂ³cleves,Hungary
2730,Chocolate Cake,RigÃƒÂ³ Jancsi,Hungary
2731,Sausage,Debreceni kolbÃƒÂ¡sz,Hungary
2732,Pork Dish,StefÃƒÂ¡nia szelet,Hungary
2733,Stew,SzÃƒÂ©kely gulyÃƒÂ¡s,Hungary
2734,Pancake,HortobÃƒÂ¡gyi palacsinta,Hungary
2735,Dumplings,DÃƒÂ¶dÃƒÂ¶lle,Hungary
2736,Snack,TepertÃ…Â‘s pogÃƒÂ¡csa,Hungary
2737,Pancake,Gundel palacsinta,Hungary
2738,Sweet Pastry,CsÃƒÂ¶rÃƒÂ¶ge,Hungary
2739,Soup,Majgaluska leves,Hungary
2740,Stew,PacalpÃƒÂ¶rkÃƒÂ¶lt,Hungary
2741,Stew,NyÃƒÂºlpaprikÃƒÂ¡s,Hungary
2742,Beef Dish,Vadas marha,Hungary
2743,Appetizer,TÃƒÂ¶ltÃƒÂ¶tt tojÃƒÂ¡s,Hungary
2744,Sweet Pastry,LekvÃƒÂ¡ros bukta,Hungary
2745,Barbecue,FatÃƒÂ¡nyerÃƒÂ³s,Hungary
2746,Cake,OroszkrÃƒÂ©m torta,Hungary
2747,Soup,Borleves,Hungary
2748,Cake,FlÃƒÂ³dni,Hungary
2749,Stew,HamisgulyÃƒÂ¡s,Hungary
2750,Stew,BirkagulyÃƒÂ¡s,Hungary
2751,Stew,CsÃƒÂ¡ngÃƒÂ³ GulyÃƒÂ¡s,Hungary
2752,Pancake,Rakott palacsinta,Hungary
2753,Chocolate Cake,Dios torta,Hungary
2754,Soup,KÃƒÂ¶mÃƒÂ©nymagleves,Hungary
2755,Stew,BetyÃƒÂ¡r gulyÃƒÂ¡s,Hungary
2756,Sausage,LÃƒÂ³kolbÃƒÂ¡sz,Hungary
2757,Dumplings,Shlishkes,Hungary
2758,Offal Dish,Hungarian Foie Gras,Hungary
2759,Sweet Pastry,Soproni mandulÃƒÂ¡s rÃƒÂ©tes,Hungary
2760,Savory Pastry,Babos pogÃƒÂ¡csa,Hungary
2761,Sweet Pastry,ÃƒÂ‰des babos rÃƒÂ©tes,Hungary
2762,Side Dish,FÃƒÂ¼szerezett vÃƒÂ¶rÃƒÂ¶skÃƒÂ¡poszta,Hungary
2763,Lamb/Mutton Dish,SviÃƒÂ°,Iceland
2764,Saltwater Fish Dish,Icelandic Fish and Chips,Iceland
2765,Saltwater Fish Dish,HÃƒÂ¡karl,Iceland
2766,Saltwater Fish Dish,HarÃƒÂ°fiskur,Iceland
2767,Meat Soup,KjÃƒÂ¶tsÃƒÂºpa,Iceland
2768,Lamb/Mutton Dish,HangikjÃƒÂ¶t,Iceland
2769,Bread,RÃƒÂºgbrauÃƒÂ°,Iceland
2770,Hot Dog,Icelandic Hot Dog,Iceland
2771,Assorted Small Dishes or Ritual,Thorramatur,Iceland
2772,Cake,VÃƒÂ­narterta,Iceland
2773,Dessert,Oven Cheese (Broddur),Iceland
2774,Flatbread,LaufabrauÃƒÂ°,Iceland
2775,Pudding,ÃƒÂbrystir,Iceland
2776,Flatbread,Flatkaka,Iceland
2777,Dip,Skyronnes,Iceland
2778,Flatbread,Roti,India
2779,Flatbread,Naan,India
2780,Relish,Chutney,India
2781,Rice Dish,Biryani,India
2782,Stew,Dal,India
2783,Chicken Dish,Butter Chicken,India
2784,Technique,Tandoori,India
2785,Chicken Dish,Tandoori Chicken,India
2786,Stew,Korma,India
2787,Pancake,Dosa,India
2788,Chicken Dish,Tikka,India
2789,Flatbread,Paratha,India
2790,Flatbread,Chapati,India
2791,Breakfast,Idli,India
2792,Pudding,Kheer,India
2793,Vegetable Dish,Chana masala,India
2794,Sandwich,Vada pav,India
2795,Rice Dish,Khichdi,India
2796,Snack,Samosa,India
2797,Porridge,Upma,India
2798,Pancake,Appam,India
2799,Rice Dish,Hyderabadi biryani,India
2800,Vegetable Dish,Palak paneer,India
2801,Deep-fried Dessert,Gulab jamun,India
2802,Stew,Pav bhaji,India
2803,Stew,Dal makhani,India
2804,Rice Dish,Pulao,India
2805,Rice Dish,Pulihora,India
2806,Pork Dish,Vindaloo,India
2807,Stew,Keema,India
2808,Street Food,Chaat,India
2809,Stew,Sambar,India
2810,Ice Cream,Kulfi,India
2811,Snack,Panipuri,India
2812,Snack,Pakora,India
2813,Pancake,Masala dosa,India
2814,Dessert,Rasgulla,India
2815,Fried Chicken Dish,Chicken 65,India
2816,Cheese Dessert,Ras malai,India
2817,Stew,Misal,India
2818,Bread,Puri,India
2819,Dessert,Laddu,India
2820,Snack,Papadum,India
2821,Sweet Pastry,Khaja,India
2822,Stew,Kadhi,India
2823,Stew,Rogan josh,India
2824,Vegetable Dish,Rajma,India
2825,Rice Dish,Pongal,India
2826,Stew,Shahi paneer,India
2827,Stew,Nihari,India
2828,Vegetable Soup,Rasam,India
2829,Dessert,Barfi,India
2830,Technique,Jalfrezi,India
2831,Side Dish,Raita,India
2832,Stew,Saag paneer,India
2833,Vegetable Dish,Malai kofta,India
2834,Vegetable Dish,Misal pav,India
2835,Dumplings,Modak,India
2836,Street Food,Bhelpuri,India
2837,Pudding,Gajar ka halwa,India
2838,Dessert,Mysore pak,India
2839,Street Food,Chole bhature,India
2840,Dessert,Falooda,India
2841,Noodle Dish,Putu mayam,India
2842,Stew,Dal tadka,India
2843,Deep-fried Dessert,Jalebi,India
2844,Rice Dish,Jeera Rice,India
2845,Potato Dish,Bonda,India
2846,Dessert,Kaju katli,India
2847,Stew,Punjabi kadhi,India
2848,Breakfast,Aloo paratha,India
2849,Vegetable Dish,Aluchya Wadya,India
2850,Vegetable Dish,Mattar paneer,India
2851,Snack,Kachori,India
2852,Flatbread,Kulcha,India
2853,Pudding,Phirni,India
2854,Dumplings,Muthia,India
2855,Stew,Laal maas,India
2856,Stew,Kadai paneer,India
2857,Stew,Madras Curry,India
2858,Rice Dish,Curd Rice,India
2859,Snack,Dhokla,India
2860,Cheese Dish,Paneer tikka,India
2861,Potato Dish,Aloo gobi,India
2862,Side Dish,Coconut Chutney,India
2863,Dessert,Shrikhand,India
2864,Snack,Medu vada,India
2865,Dessert,Panjiri,India
2866,Flatbread,Bhakri,India
2867,Flatbread,Pesara dosa,India
2868,Bread,Baati,India
2869,Bread,Pitha,India
2870,Vegetable Dish,Avial,India
2871,Snack,Chikki,India
2872,Snack,Aloo tikki,India
2873,Stew,Pasanda,India
2874,Ground Meat Dish,Galouti kebab,India
2875,Street Food,Uttapam,India
2876,Rice Dish,Bombay biryani,India
2877,Vegetable Dish,Aloo methi,India
2878,Rice Dish,Mughlai biryani,India
2879,Vegetable Dish,Rajma chawal,India
2880,Snack,Sabudana vada,India
2881,Frozen Dessert,Kulfi falooda,India
2882,Snack,Sev,India
2883,Fish Dish,Malabar Fish Curry,India
2884,Feast,Sadhya,India
2885,Dessert,Sandesh,India
2886,Side Dish,Mango Chutney,India
2887,Beef Dish,Bihari kebab,India
2888,Vegetable Dish,Patra,India
2889,Snack,Dabeli,India
2890,Flatbread,Keema naan,India
2891,Sandwich,Bombay Sandwich,India
2892,Stew,Murgh kari,India
2893,Flatbread,Butter Garlic Naan,India
2894,Dip,Garlic Chutney,India
2895,Side Dish,Aloo matar,India
2896,Dessert,Pinni,India
2897,Dessert,Basundi,India
2898,Street Food,Batata vada,India
2899,Rice Dish,Sakkarai pongal,India
2900,Flatbread,Rumali roti,India
2901,Appetizer,Gobi manchurian,India
2902,Cheese Dish,Chilli paneer,India
2903,Sweet Pastry,Gujiya,India
2904,Dessert,Mishti doi,India
2905,Stew,Gujarati kadhi,India
2906,Stew,Chettinad kozhi,India
2907,Dessert,Peda,India
2908,Chicken Dish,Varuval,India
2909,Chicken Dish,Murgh malai,India
2910,Stew,Chakna,India
2911,Rice Dish,Yakhni pulao,India
2912,Rice Dish,Matar pulao,India
2913,Side Dish,Tomato Chutney,India
2914,Snack,Bikaneri bhujia,India
2915,Snack,Murukku,India
2916,Vegetarian Dish,Dahi vada,India
2917,Flatbread,Khakhra,India
2918,Side Dish,Churma,India
2919,Snack,Khandvi,India
2920,Meat Dish,Boti kebab,India
2921,Rice Dish,Bisi bele bath,India
2922,Snack,Upperi,India
2923,Snack,Masala papad,India
2924,Side Dish,Mint Chutney,India
2925,Side Dish,Apple Chutney,India
2926,Dessert,Rabri,India
2927,Dip,Onion Chutney,India
2928,Dip,Green Chutney,India
2929,Potato Dish,Dum aloo,India
2930,Snack,Boondi,India
2931,Flatbread,Parotta,India
2932,Breakfast,Rava dosa,India
2933,Snack,Litti chokha,India
2934,Bread,Bhatura,India
2935,Dip,Tamarind Chutney,India
2936,Plant-based/Vegan Dish,Usal,India
2937,Side Dish,Sanna,India
2938,Dip,Chilli Chutney,India
2939,Cheese Dessert,Kalakand,India
2940,Dip,Coriander Chutney,India
2941,Dessert,Kansar,India
2942,Flatbread,Paneer kulcha,India
2943,Snack,Gajak,India
2944,Cheese Dish,Paneer makhani,India
2945,Snack,Papri chaat,India
2946,Ground Meat Dish,Shami kebab,India
2947,Stew,Pitla,India
2948,Stew,Mirchi ka salan,India
2949,Flatbread,Puran poli,India
2950,Dessert,Aamras,India
2951,Wrap,Kathi Roll,India
